Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2;Int_Hum_Eval
'Table_of_prophets_of_Abrahamic_religions'; 'Alexander_the_Great';33;2371.67;113391.33;111019.66;115763.0;0.12;0.4;0.53;7.77;1
'Indian_campaign_of_Alexander_the_Great'; 'Alexander_the_Great';322;7870.67;113391.33;105520.66;121262.0;0.74;0.09;0.26;0.76;0
'Heavy_cavalry'; 'Alexander_the_Great';37;2190.33;113391.33;111201.0;115581.66;0.42;0.13;0.42;5.42;0
'Panjshir_Valley'; 'Alexander_the_Great';10;647.67;113391.33;112743.66;114039.0;0.18;0.21;0.5;14.98;1
'Rhodes'; 'Alexander_the_Great';21;26768.75;113391.33;86622.58;140160.08;0.39;0.16;0.34;4.74;1
'Philosopher_king'; 'Alexander_the_Great';182;3695.33;113391.33;109696.0;117086.66;0.45;0.13;0.47;3.99;1
'Phrygia'; 'Alexander_the_Great';46;10691.97;113391.33;102699.36;124083.3;0.38;0.08;0.33;5.02;1
'Argyraspides'; 'Alexander_the_Great';16;692.11;113391.33;112699.22;114083.44;0.41;0.11;0.38;6.79;1
'Matter_of_Rome'; 'Alexander_the_Great';24;571.0;113391.33;112820.33;113962.33;0.34;0.17;0.46;7.6;1
'Egypt'; 'Alexander_the_Great';93;220427.43;113391.33;107036.1;333818.76;0.43;0.16;0.53;5.39;1
'Battle_of_Gaugamela'; 'Alexander_the_Great';913;5842.33;113391.33;107549.0;119233.66;0.67;0.1;0.2;1.12;1
'Asafoetida'; 'Alexander_the_Great';17;21063.16;113391.33;92328.17;134454.49;0.25;0.32;0.54;8.77;1
'Chronology_of_European_exploration_of_Asia'; 'Alexander_the_Great';29;1701.33;113391.33;111690.0;115092.66;0.43;0.43;0.41;1.56;1
'Pella'; 'Alexander_the_Great';110;9234.26;113391.33;104157.07;122625.59;0.47;0.12;0.26;1.3;1
'Archimedes'; 'Alexander_the_Great';13;74374.58;113391.33;39016.75;187765.91;0.28;0.33;0.43;6.61;1
'Aristotle'; 'Alexander_the_Great';3057;242694.17;113391.33;129302.84;356085.5;0.43;0.25;0.34;1.04;0
'Spitamenes'; 'Alexander_the_Great';26;576.32;113391.33;112815.01;113967.65;0.41;0.4;0.34;0.78;1
'Byzantine_Empire'; 'Alexander_the_Great';63;62818.67;113391.33;50572.66;176210.0;0.53;0.14;0.35;2.19;0
'Philoxenus_of_Eretria'; 'Alexander_the_Great';10;93.67;113391.33;113297.66;113485.0;0.34;0.42;0.42;4.18;1
'Napoleonic_Wars'; 'Alexander_the_Great';11;35270.67;113391.33;78120.66;148662.0;0.48;0.1;0.63;11.82;1
'History_of_Egypt'; 'Alexander_the_Great';140;6964.67;113391.33;106426.66;120356.0;0.44;0.16;0.4;3.17;0
'Bactria'; 'Alexander_the_Great';117;18362.32;113391.33;95029.01;131753.65;0.47;0.14;0.25;0.89;1
'Euphrates'; 'Alexander_the_Great';11;17130.29;113391.33;96261.04;130521.62;0.31;0.15;0.36;8.87;0
'Herostratus'; 'Alexander_the_Great';12;2510.0;113391.33;110881.33;115901.33;0.3;0.27;0.43;7.66;1
'Joan_of_Arc'; 'Alexander_the_Great';10;60672.0;113391.33;52719.33;174063.33;0.29;0.28;0.62;12.36;1
'Leonidas_I'; 'Alexander_the_Great';31;22604.33;113391.33;90787.0;135995.66;0.37;0.43;0.41;2.17;0
'Uzbekistan'; 'Alexander_the_Great';193;110738.46;113391.33;2652.87;224129.79;0.34;0.16;0.51;5.2;1
'Bahrain'; 'Alexander_the_Great';25;130826.96;113391.33;17435.63;244218.29;0.3;0.17;0.52;9.35;1
'Siege_of_Halicarnassus'; 'Alexander_the_Great';12;350.67;113391.33;113040.66;113742.0;0.45;0.09;0.23;2.48;1
'Homer'; 'Alexander_the_Great';13;70815.45;113391.33;42575.88;184206.78;0.37;0.1;0.32;6.95;1
'Cultural_depictions_of_Alexander_the_Great'; 'Alexander_the_Great';41;465.67;113391.33;112925.66;113857.0;0.78;0.11;0.31;0.68;0
'Callisthenes'; 'Alexander_the_Great';39;820.0;113391.33;112571.33;114211.33;0.44;0.36;0.34;0.8;1
'Constantine_the_Great'; 'Alexander_the_Great';24;33687.33;113391.33;79704.0;147078.66;0.35;0.56;0.38;0.52;0
'Herodotus'; 'Alexander_the_Great';11;38701.14;113391.33;74690.19;152092.47;0.34;0.28;0.25;1.55;1
'Kodava_people'; 'Alexander_the_Great';31;2560.33;113391.33;110831.0;115951.66;0.28;0.11;0.65;12.04;1
'Kalasha_Valleys'; 'Alexander_the_Great';20;570.67;113391.33;112820.66;113962.0;0.13;0.17;0.46;13.5;1
'Mellified_man'; 'Alexander_the_Great';33;13411.0;113391.33;99980.33;126802.33;0.26;0.23;0.57;8.83;1
'Albania'; 'Alexander_the_Great';17;183933.63;113391.33;70542.3;297324.96;0.41;0.14;0.58;10.16;1
'Sacred_Band_of_Thebes'; 'Alexander_the_Great';33;5844.0;113391.33;107547.33;119235.33;0.47;0.11;0.34;3.66;1
'Macedonian_phalanx'; 'Alexander_the_Great';57;2125.0;113391.33;111266.33;115516.33;0.43;0.11;0.32;3.35;0
'Angelina_Jolie'; 'Alexander_the_Great';12;130267.33;113391.33;16876.0;243658.66;0.26;0.3;0.59;11.26;1
'Ancient_Corinth'; 'Alexander_the_Great';12;6254.67;113391.33;107136.66;119646.0;0.41;0.12;0.33;5.98;1
'Arno_Breker'; 'Alexander_the_Great';205;2058.0;113391.33;111333.33;115449.33;0.21;0.3;0.69;6.52;1
'Bangladesh'; 'Alexander_the_Great';26;291071.05;113391.33;177679.72;404462.38;0.4;0.15;0.76;11.5;1
'1_Maccabees'; 'Alexander_the_Great';12;3171.33;113391.33;110220.0;116562.66;0.34;0.15;0.42;9.3;1
'Ancient_Egypt'; 'Alexander_the_Great';834;47790.33;113391.33;65601.0;161181.66;0.53;0.14;0.3;0.81;1
'Perceforest'; 'Alexander_the_Great';10;667.89;113391.33;112723.44;114059.22;0.25;0.15;0.49;14.42;1
'Macedonia_(Greece)'; 'Alexander_the_Great';156;12521.74;113391.33;100869.59;125913.07;0.43;0.16;0.35;2.57;0
'Gallipoli'; 'Alexander_the_Great';18;20028.7;113391.33;93362.63;133420.03;0.42;0.14;0.47;7.55;0
'Megasthenes'; 'Alexander_the_Great';14;5913.68;113391.33;107477.65;119305.01;0.23;0.45;0.35;3.26;1
'Cynane'; 'Alexander_the_Great';23;745.26;113391.33;112646.07;114136.59;0.31;0.43;0.29;0.52;1
'Barsine'; 'Alexander_the_Great';61;791.91;113391.33;112599.42;114183.24;0.4;0.35;0.37;1.69;1
'Antigonus_I_Monophthalmus'; 'Alexander_the_Great';93;2755.67;113391.33;110635.66;116147.0;0.37;0.71;0.23;3.34;1
'Amu_Darya'; 'Alexander_the_Great';15;3688.67;113391.33;109702.66;117080.0;0.32;0.2;0.38;6.95;1
'Jews'; 'Alexander_the_Great';55;145562.16;113391.33;32170.83;258953.49;0.45;0.11;0.47;5.55;1
'Ancient_Greece'; 'Alexander_the_Great';2252;43249.33;113391.33;70142.0;156640.66;0.6;0.09;0.23;0.18;0
'Alexandria_Arachosia'; 'Alexander_the_Great';47;386.0;113391.33;113005.33;113777.33;0.28;0.13;0.38;6.78;1
'Gog_and_Magog'; 'Alexander_the_Great';329;15648.0;113391.33;97743.33;129039.33;0.35;0.1;0.4;4.23;1
'Hanging_Gardens_of_Babylon'; 'Alexander_the_Great';46;34483.0;113391.33;78908.33;147874.33;0.38;0.13;0.39;5.24;1
'Medieval_Greek'; 'Alexander_the_Great';53;2652.67;113391.33;110738.66;116044.0;0.43;0.14;0.39;4.19;1
'Smyrna'; 'Alexander_the_Great';54;16354.46;113391.33;97036.87;129745.79;0.4;0.15;0.41;4.75;1
'Parallel_Lives'; 'Alexander_the_Great';111;3724.0;113391.33;109667.33;117115.33;0.33;0.13;0.38;4.8;1
'Ancient_Macedonians'; 'Alexander_the_Great';90;2908.67;113391.33;110482.66;116300.0;0.6;0.13;0.22;0.9;0
'Campaspe'; 'Alexander_the_Great';16;775.0;113391.33;112616.33;114166.33;0.28;0.31;0.44;6.69;1
'Antiochus_IV_Epiphanes'; 'Alexander_the_Great';13;5678.33;113391.33;107713.0;119069.66;0.32;0.88;0.35;3.44;1
'Mumtaz_(actress)'; 'Alexander_the_Great';54;25494.35;113391.33;87896.98;138885.68;0.14;0.4;0.67;8.06;1
'Pausanias_of_Orestis'; 'Alexander_the_Great';63;1176.0;113391.33;112215.33;114567.33;0.35;0.33;0.32;1.57;1
'Macedonians_(Greeks)'; 'Alexander_the_Great';21;1711.71;113391.33;111679.62;115103.04;0.46;0.14;0.37;4.53;0
'Nader_Shah'; 'Alexander_the_Great';58;6317.33;113391.33;107074.0;119708.66;0.37;0.92;0.39;2.08;1
'Battle_of_Thebes'; 'Alexander_the_Great';86;722.0;113391.33;112669.33;114113.33;0.53;0.1;0.31;1.82;0
'Demetrius_I_of_Bactria'; 'Alexander_the_Great';20;1009.0;113391.33;112382.33;114400.33;0.4;0.55;0.32;1.26;0
'Porus'; 'Alexander_the_Great';650;79116.28;113391.33;34275.05;192507.61;0.43;0.43;0.35;0.22;1
'Halicarnassus'; 'Alexander_the_Great';36;4468.95;113391.33;108922.38;117860.28;0.39;0.12;0.32;4.27;1
'Etemenanki'; 'Alexander_the_Great';76;4628.42;113391.33;108762.91;118019.75;0.33;0.15;0.44;5.75;1
'Babylon'; 'Alexander_the_Great';212;127920.35;113391.33;14529.02;241311.68;0.42;0.13;0.23;1.05;1
'Nuristanis'; 'Alexander_the_Great';19;1550.53;113391.33;111840.8;114941.86;0.41;0.14;0.41;6.44;1
'Indus_Valley_Civilisation'; 'Alexander_the_Great';72;36556.33;113391.33;76835.0;149947.66;0.43;0.11;0.41;4.57;0
'Portrait_of_the_Four_Tetrarchs'; 'Alexander_the_Great';12;1031.0;113391.33;112360.33;114422.33;0.4;0.13;0.52;10.5;1
'Battle_of_Pydna'; 'Alexander_the_Great';14;1342.0;113391.33;112049.33;114733.33;0.41;0.1;0.37;7.11;1
'The_School_of_Athens'; 'Alexander_the_Great';68;17743.67;113391.33;95647.66;131135.0;0.43;0.12;0.46;5.17;1
'Bakshi_Banu_Begum'; 'Alexander_the_Great';11;911.0;113391.33;112480.33;114302.33;0.2;0.46;0.54;8.48;1
'King_Arthur'; 'Alexander_the_Great';11;56571.0;113391.33;56820.33;169962.33;0.38;0.4;0.55;6.54;1
'Coenus_(general)'; 'Alexander_the_Great';13;536.28;113391.33;112855.05;113927.61;0.34;0.58;0.31;1.38;1
'Alexandros_of_Antioch'; 'Alexander_the_Great';25;577.67;113391.33;112813.66;113969.0;0.21;0.42;0.52;6.46;1
'Nearchus'; 'Alexander_the_Great';17;878.42;113391.33;112512.91;114269.75;0.44;0.35;0.28;0.42;1
'Khidr'; 'Alexander_the_Great';22;6795.72;113391.33;106595.61;120187.05;0.39;0.33;0.46;4.39;1
'Xerxes_I'; 'Alexander_the_Great';113;19467.67;113391.33;93923.66;132859.0;0.42;0.55;0.3;1.25;1
'Maurya_Empire'; 'Alexander_the_Great';253;31107.0;113391.33;82284.33;144498.33;0.47;0.14;0.29;1.36;1
'Western_world'; 'Alexander_the_Great';10;18175.0;113391.33;95216.33;131566.33;0.55;0.09;0.42;6.47;0
'Alexander_I_of_Epirus'; 'Alexander_the_Great';72;455.33;113391.33;112936.0;113846.66;0.45;0.53;0.32;1.11;0
'Roman_portraiture'; 'Alexander_the_Great';12;888.0;113391.33;112503.33;114279.33;0.4;0.1;0.43;9.28;1
'Hindu_Kush'; 'Alexander_the_Great';50;10905.33;113391.33;102486.0;124296.66;0.38;0.17;0.36;4.04;1
'Macedonians_(ethnic_group)'; 'Alexander_the_Great';10;3966.33;113391.33;109425.0;117357.66;0.46;0.14;0.48;8.79;0
'Bible'; 'Alexander_the_Great';18;102622.41;113391.33;10768.92;216013.74;0.47;0.09;0.49;7.92;1
'Kingdom_of_Armenia_(antiquity)'; 'Alexander_the_Great';29;9013.39;113391.33;104377.94;122404.72;0.4;0.15;0.34;4.28;1
'Kazakhstan'; 'Alexander_the_Great';49;191619.66;113391.33;78228.33;305010.99;0.38;0.1;0.65;9.34;1
'Early_Muslim_conquests'; 'Alexander_the_Great';397;7572.0;113391.33;105819.33;120963.33;0.43;0.09;0.37;3.04;1
'Lists_of_emperors'; 'Alexander_the_Great';23;686.0;113391.33;112705.33;114077.33;0.16;0.6;0.53;4.95;0
'Napoleon_Crossing_the_Alps'; 'Alexander_the_Great';48;5083.33;113391.33;108308.0;118474.66;0.39;0.17;0.54;6.56;1
'Greco-Persian_Wars'; 'Alexander_the_Great';54;11774.33;113391.33;101617.0;125165.66;0.42;0.09;0.29;3.27;0
'Gangaridai'; 'Alexander_the_Great';18;1624.74;113391.33;111766.59;115016.07;0.36;0.19;0.38;5.92;1
'Cassander'; 'Alexander_the_Great';170;5914.45;113391.33;107476.88;119305.78;0.5;0.92;0.25;4.23;1
'Sang_Nila_Utama'; 'Alexander_the_Great';39;1244.0;113391.33;112147.33;114635.33;0.27;0.19;0.5;8.0;13
'Sparta'; 'Alexander_the_Great';19;41844.0;113391.33;71547.33;155235.33;0.47;0.12;0.27;2.36;0
'Tutankhamun'; 'Alexander_the_Great';14;91936.99;113391.33;21454.34;205328.32;0.41;0.69;0.45;0.0;1
'Pakistan'; 'Alexander_the_Great';52;386589.38;113391.33;273198.05;499980.71;0.41;0.16;0.58;7.38;1
'Parysatis_II'; 'Alexander_the_Great';41;1376.33;113391.33;112015.0;114767.66;0.44;0.6;0.34;1.38;1
'Alexander_Mosaic'; 'Alexander_the_Great';241;2064.33;113391.33;111327.0;115455.66;0.55;0.12;0.37;1.9;1
'Philip_I_of_Macedon'; 'Alexander_the_Great';18;327.0;113391.33;113064.33;113718.33;0.33;0.52;0.44;2.54;0
'Ptolemy'; 'Alexander_the_Great';73;43671.68;113391.33;69719.65;157063.01;0.41;0.29;0.37;2.11;0
'Philip_V_of_Macedon'; 'Alexander_the_Great';43;1320.0;113391.33;112071.33;114711.33;0.47;0.88;0.33;3.68;0
'Shamsuddin_Ilyas_Shah'; 'Alexander_the_Great';25;393.67;113391.33;112997.66;113785.0;0.17;0.52;0.47;4.79;1
'Corinthian_War'; 'Alexander_the_Great';58;1773.0;113391.33;111618.33;115164.33;0.44;0.1;0.33;3.52;0
'Partition_of_Triparadisus'; 'Alexander_the_Great';29;371.33;113391.33;113020.0;113762.66;0.52;0.09;0.32;2.92;1
'Jauhar'; 'Alexander_the_Great';10;13573.68;113391.33;99817.65;126965.01;0.35;0.43;0.5;5.74;1
'Seder_Olam_Rabbah'; 'Alexander_the_Great';11;308.33;113391.33;113083.0;113699.66;0.15;0.13;0.46;17.75;1
'Jewish_diaspora'; 'Alexander_the_Great';13;12331.33;113391.33;101060.0;125722.66;0.44;0.09;0.38;7.11;1
'Kalanos'; 'Alexander_the_Great';19;398.95;113391.33;112992.38;113790.28;0.5;0.28;0.36;1.72;1
'Siege_of_Miletus'; 'Alexander_the_Great';13;192.0;113391.33;113199.33;113583.33;0.3;0.09;0.24;6.65;1
'Susa'; 'Alexander_the_Great';26;11417.09;113391.33;101974.24;124808.42;0.38;0.13;0.26;3.25;1
'Seleucid–Mauryan_war'; 'Alexander_the_Great';18;5440.74;113391.33;107950.59;118832.07;0.35;0.1;0.34;7.12;1
'Taxila'; 'Alexander_the_Great';70;21426.67;113391.33;91964.66;134818.0;0.33;0.12;0.33;4.68;1
'Justinian_I'; 'Alexander_the_Great';14;18485.0;113391.33;94906.33;131876.33;0.42;0.38;0.4;2.6;1
'Atropatene'; 'Alexander_the_Great';10;1186.78;113391.33;112204.55;114578.11;0.33;0.15;0.38;9.24;1
'Ashkenazi_Jews'; 'Alexander_the_Great';130;59743.67;113391.33;53647.66;173135.0;0.4;0.11;0.48;5.18;1
'Battle_of_Megalopolis'; 'Alexander_the_Great';30;410.33;113391.33;112981.0;113801.66;0.39;0.1;0.35;5.49;1
'Marcus_Aurelius'; 'Alexander_the_Great';23;41067.67;113391.33;72323.66;154459.0;0.31;0.56;0.38;0.96;1
'Babylonian_astronomical_diaries'; 'Alexander_the_Great';14;190.0;113391.33;113201.33;113581.33;0.24;0.2;0.5;11.67;1
'Amyntas_III_of_Macedon'; 'Alexander_the_Great';27;706.67;113391.33;112684.66;114098.0;0.37;0.52;0.32;0.54;0
'Timeline_of_ancient_history'; 'Alexander_the_Great';43;8971.0;113391.33;104420.33;122362.33;0.23;0.09;0.34;8.26;0
'Heidelberg_United_FC'; 'Alexander_the_Great';20;911.67;113391.33;112479.66;114303.0;0.4;0.09;0.78;13.1;1
'Rabbinic_Judaism'; 'Alexander_the_Great';24;3367.0;113391.33;110024.33;116758.33;0.37;0.09;0.45;8.42;1
'Peritas'; 'Alexander_the_Great';40;431.05;113391.33;112960.28;113822.38;0.31;0.22;0.4;5.28;1
'Tower_of_Babel'; 'Alexander_the_Great';34;32750.33;113391.33;80641.0;146141.66;0.45;0.14;0.45;5.42;1
'Languages_of_the_Roman_Empire'; 'Alexander_the_Great';71;2830.33;113391.33;110561.0;116221.66;0.48;0.14;0.41;3.59;0
'Vergina_Sun'; 'Alexander_the_Great';40;1763.0;113391.33;111628.33;115154.33;0.34;0.13;0.36;5.59;1
'Nebuchadnezzar_II'; 'Alexander_the_Great';21;18293.33;113391.33;95098.0;131684.66;0.37;0.55;0.35;0.22;1
'Demetrius_I_of_Macedon'; 'Alexander_the_Great';129;1381.67;113391.33;112009.66;114773.0;0.37;0.91;0.3;2.97;0
'Ancient_Greek_art'; 'Alexander_the_Great';61;6607.33;113391.33;106784.0;119998.66;0.59;0.21;0.33;0.54;0
'Neo-Babylonian_Empire'; 'Alexander_the_Great';12;6085.0;113391.33;107306.33;119476.33;0.45;0.16;0.32;3.95;1
'Kabul'; 'Alexander_the_Great';20;34920.69;113391.33;78470.64;148312.02;0.33;0.12;0.42;8.58;1
'Frederick_the_Great'; 'Alexander_the_Great';12;23079.67;113391.33;90311.66;136471.0;0.44;0.3;0.58;7.52;1
'Gandhara'; 'Alexander_the_Great';42;17948.74;113391.33;95442.59;131340.07;0.47;0.14;0.29;2.02;1
'Ai-Khanoum'; 'Alexander_the_Great';10;1787.89;113391.33;111603.44;115179.22;0.39;0.13;0.33;6.71;1
'Wikipedia'; 'Alexander_the_Great';77;404632.57;113391.33;291241.24;518023.9;0.29;0.12;0.94;12.57;1
'9K720_Iskander'; 'Alexander_the_Great';26;4044.0;113391.33;109347.33;117435.33;0.21;0.12;0.73;15.22;1
'Oxyartes'; 'Alexander_the_Great';15;525.97;113391.33;112865.36;113917.3;0.34;0.4;0.32;1.44;1
'Babylonia'; 'Alexander_the_Great';22;40716.53;113391.33;72674.8;154107.86;0.48;0.22;0.29;1.07;1
'Phlegethon'; 'Alexander_the_Great';10;2266.84;113391.33;111124.49;115658.17;0.28;0.18;0.67;16.11;1
'Israel'; 'Alexander_the_Great';242;362410.43;113391.33;249019.1;475801.76;0.45;0.14;0.67;5.83;1
'Byzantium'; 'Alexander_the_Great';59;26902.54;113391.33;86488.79;140293.87;0.45;0.12;0.33;3.1;0
'Alexander_I_of_Macedon'; 'Alexander_the_Great';86;1241.33;113391.33;112150.0;114632.66;0.54;0.49;0.37;0.63;0
'Apis_(deity)'; 'Alexander_the_Great';12;5848.72;113391.33;107542.61;119240.05;0.36;0.1;0.4;9.59;1
'Midas'; 'Alexander_the_Great';28;28834.51;113391.33;84556.82;142225.84;0.32;0.55;0.43;1.82;1
'Peloponnesian_War'; 'Alexander_the_Great';207;31375.67;113391.33;82015.66;144767.0;0.43;0.1;0.3;2.37;0
'Ptolemaic_Kingdom'; 'Alexander_the_Great';408;11619.67;113391.33;101771.66;125011.0;0.52;0.16;0.25;0.15;0
'Albanian_lek'; 'Alexander_the_Great';41;1938.33;113391.33;111453.0;115329.66;0.14;0.09;0.53;14.06;0
'Battle_of_Chaeronea_(338_BC)'; 'Alexander_the_Great';187;2282.67;113391.33;111108.66;115674.0;0.47;0.1;0.29;1.84;1
'Parmenion'; 'Alexander_the_Great';94;1837.37;113391.33;111553.96;115228.7;0.51;0.58;0.26;2.8;1
'Epaminondas'; 'Alexander_the_Great';26;2902.31;113391.33;110489.02;116293.64;0.42;0.58;0.33;1.42;1
'Red_Sea'; 'Alexander_the_Great';34;17695.33;113391.33;95696.0;131086.66;0.35;0.16;0.44;6.53;1
'Diodorus_Siculus'; 'Alexander_the_Great';40;3057.33;113391.33;110334.0;116448.66;0.35;0.36;0.29;0.78;0
'Somatophylakes'; 'Alexander_the_Great';83;1078.95;113391.33;112312.38;114470.28;0.28;0.11;0.34;5.65;1
'Heterochromia_iridum'; 'Alexander_the_Great';29;18575.0;113391.33;94816.33;131966.33;0.21;0.09;0.56;13.51;1
'Western_culture'; 'Alexander_the_Great';30;15527.67;113391.33;97863.66;128919.0;0.58;0.12;0.42;3.57;0
'Siwa_Oasis'; 'Alexander_the_Great';39;13781.0;113391.33;99610.33;127172.33;0.33;0.12;0.39;6.52;1
